Industry,Average_Industry_Return,Average_Market_Return
Transportation_and_Infrastructure,0.000558796538170073,0.00022558279743903616
Agriculture_and_Food,0.00048737074950861673,0.0002173725532398698
Automotive,0.0005987945916937798,0.00018654552075224467
Defense_and_Aerospace,0.0008645755842020632,0.00020830992386885387
Energy_and_Utilities,0.00040017855180265213,0.00017218264867359018
Finance_and_Insurance,0.00041181887495597057,0.00015722473011603322
Healthcare_and_Pharmaceuticals,0.0005375597117893268,0.0001968799854461371
Manufacturing_and_Industrial_Goods,0.0007317607122402685,0.00019337009402171926
Real_Estate_and_Construction,0.0004902757571107429,0.00017194456830538416
Retail_and_Consumer_Goods,0.000529075525797645,0.000162391141683576
Technology_and_Telecommunications,0.000707732298040431,0.00017412018552673123
